family,case,classification,historical_seed,candidate_seed_or_repetition,timer,fixture_profile,fixture_bytes,fixture_files,route,setup_policy,registered_seed_min,registered_seed_max,reason
payload_create_read,payload-create-1m-compact-v2,directly-comparable,1,1,pure_call_sum_ns,compact-low-tier-v2,0,0,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
payload_create_read,payload-create-10m-compact-v2,directly-comparable,1,1,pure_call_sum_ns,compact-low-tier-v2,0,0,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
payload_create_read,payload-create-100m,directly-comparable,1,1,pure_call_sum_ns,registered-fixture,0,0,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
payload_create_read,payload-create-500m,directly-comparable,1,1,pure_call_sum_ns,registered-fixture,0,0,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
payload_create_read,payload-random-read-1-compact-v2,directly-comparable,1,1,pure_call_sum_ns,compact-low-tier-v2,1048576,1,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
payload_create_read,payload-random-read-10-compact-v2,directly-comparable,1,1,pure_call_sum_ns,compact-low-tier-v2,10485760,1,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
payload_create_read,payload-random-read-100,directly-comparable,1,1,pure_call_sum_ns,registered-fixture,524288000,1,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
payload_create_read,payload-random-read-500,directly-comparable,1,1,pure_call_sum_ns,registered-fixture,524288000,1,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
dedup_workspace_reuse,dedup-workspace-exact-1-compact-v2,directly-comparable,1,1,pure_call_sum_ns,compact-low-tier-v2,1048576,1,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
dedup_workspace_reuse,dedup-workspace-exact-10-compact-v2,directly-comparable,1,1,pure_call_sum_ns,compact-low-tier-v2,10485760,10,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
dedup_workspace_reuse,dedup-workspace-exact-100,directly-comparable,1,1,pure_call_sum_ns,registered-fixture,134217728,128,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
dedup_workspace_reuse,dedup-workspace-exact-500,directly-comparable,1,1,pure_call_sum_ns,registered-fixture,134217728,128,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
dedup_workspace_reuse,dedup-workspace-local-1-compact-v2,directly-comparable,1,1,pure_call_sum_ns,compact-low-tier-v2,1048576,1,workspace,post-init,1,3,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically."
